FPS,GrayScale_Func [ms],EqualizeHist_Func [ms],Clahe_Func [ms],Face_Func [ms],Nose_Func [ms],Mouth_Func [ms],RightEye_Func [ms],REyeOpen_Func [ms],LeftEye_Func [ms],LEyeopen_Func [ms],Tracking_Func [ms],FaceFound?,NoseFound?,MouthFound?,RightEyeFound?,REyeOpenFound?,LeftEyeFound?,LEyeopenFound?
13,1.32152,0.912892,0,39.9485,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
13.2,2.05196,1.09103,0,40.5885,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
13.4,6.36226,0.913719,0,33.6803,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
13.6,1.37131,1.15836,0,41.5966,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
13.8,1.24817,0.810587,0,41.2365,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
14,2.15832,0.913019,0,39.4424,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
14.2,1.5189,1.57046,0,40.6625,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
14.4,1.14349,0.909261,0,40.9538,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
14.6,0.77007,0.907144,0,39.7334,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
14.8,7.59776,0.920868,0,38.8303,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
15,7.87301,0.817907,0,37.9915,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
12.6667,4.51505,1.12914,0,39.4734,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
12.8333,6.55835,0.819457,0,37.5931,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
13,1.28247,0.989737,0,41.5663,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
13.1667,1.48278,0.988653,0,43.4507,3.18116,1.94589,4.63937,2.33049,1.09167,0,0,1,0,0,1,0,0,0
